sigma,u3_GQ
1.0,0.009533634275706087
1.183673469387755,0.007896192100478091
1.3673469387755102,0.0066422781543004706
1.5510204081632653,0.0056556885927314254
1.7346938775510203,0.004863152966790832
1.9183673469387754,0.0042159397762323095
2.1020408163265305,0.0036802700087851937
2.2857142857142856,0.0032319448804057297
2.4693877551020407,0.002853155840197066
2.6530612244897958,0.002530501735179168
2.836734693877551,0.002253706118882177
3.0204081632653064,0.0020147609111782288
3.2040816326530615,0.0018073383939696845
3.3877551020408165,0.0016263775957059204
3.5714285714285716,0.0014677872654243788
3.7551020408163267,0.001328228623271265
3.938775510204082,0.0012049538188315518
4.122448979591837,0.0010956840991167473
4.3061224489795915,0.0009985166911037633
4.4897959183673475,0.0009118528141207254
4.673469387755102,0.0008343414428776892
4.857142857142858,0.0007648349162753081
5.040816326530613,0.0007023536153557186
5.224489795918368,0.0006460576383173203
5.408163265306123,0.0005952238717326272
5.591836734693878,0.0005492273629325897
5.775510204081633,0.0005075260486823537
5.959183673469388,0.0004696481734457398
6.142857142857143,0.00043518186860927986
6.326530612244898,0.0004037664804388885
6.510204081632653,0.00037508531906979635
6.6938775510204085,0.0003488595302123611
6.877551020408164,0.0003248430093270528
7.061224489795919,0.000302817984113757
7.244897959183674,0.00028259133910463164
7.428571428571429,0.0002639914439818749
7.612244897959184,0.0002468654579278309
7.795918367346939,0.0002310769718863044
7.979591836734694,0.00021650406496931003
8.16326530612245,0.00020303750920324848
8.346938775510203,0.0001905793187975152
8.53061224489796,0.00017904142183057298
8.714285714285715,0.00016834454186430518
8.89795918367347,0.00015841720019406076
9.081632653061225,0.00014919485886600933
9.26530612244898,0.00014061915556859366
9.448979591836736,0.00013263724546365042
9.63265306122449,0.00012520120734184397
9.816326530612246,0.00011826753575267085
10.0,0.00011179667652930394
